B103 - MONDAY - 2018.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
week,00:00 - 00:29,00:30 - 00:59,01:00 - 01:29,01:30 - 01:59,02:00 - 02:29,02:30 - 02:59,03:00 - 03:29,03:30 - 03:59,04:00 - 04:29,04:30 - 04:59,05:00 - 05:29,05:30 - 05:59,06:00 - 06:29,06:30 - 06:59,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59,18:00 - 18:29,18:30 - 18:59,19:00 - 19:29,19:30 - 19:59,20:00 - 20:29,20:30 - 20:59,21:00 - 21:29,21:30 - 21:59,22:00 - 22:29,22:30 - 22:59,23:00 - 23:29,23:30 - 23:59
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,62,87,87,87,87,65,58,51,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,34,70,177,196,244,471,361,189,269,347,330,173,172,200,145,117,78,55,29,29,9,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,85,99,144,204,165,219,294,340,276,241,283,182,129,184,197,259,258,259,200,125,87,74,64,15,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,58,58,89,205,228,219,247,463,331,270,343,320,231,195,194,120,270,207,186,185,164,98,87,83,56,29,28,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,47,89,121,257,336,354,379,380,337,346,384,301,266,193,150,138,221,255,245,174,179,121,116,116,116,116,89,55,29,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,106,124,174,218,438,493,389,228,271,268,181,137,177,376,348,285,231,205,174,174,165,156,94,34,22,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,26,95,163,146,149,197,222,225,250,350,394,337,294,265,422,419,339,268,267,217,153,163,159,145,138,80,72,87,76,38
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,59,131,183,189,218,385,319,283,244,261,277,299,258,144,117,64,29,29,29,29,29,11,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,29,63,48,41,82,208,243,202,207,170,177,116,45,61,116,97,100,98,81,44,29,29,29,18,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B103 - FRIDAY - 2018.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
